Student ID,Average,Status
00786,53.59,Provisional Pass
01133,79.67,Pass
02111,47.41,Provisional Pass
02367,43.52,Provisional Pass
02534,64.74,Pass
02610,70.25,Pass
02686,68.89,Pass
03242,51.56,Provisional Pass
03680,54.96,Provisional Pass
03750,79.4,Pass
04724,58.77,Provisional Pass
06002,61.59,Pass
06385,57.12,Provisional Pass
06576,48.79,Provisional Pass
07348,56.11,Provisional Pass
11353,55.42,Provisional Pass
11376,76.72,Pass
11643,63.77,Pass
11757,49.16,Provisional Pass
13221,70.54,Pass
13273,57.92,Provisional Pass
13825,63.28,Pass
14334,83.59,Pass
14664,56.14,Provisional Pass
16041,64.48,Pass
17183,55.27,Provisional Pass
17574,42.27,Provisional Pass
17681,62.35,Pass
18565,75.63,Pass
20405,63.83,Pass
20764,60.03,Pass
21866,67.1,Pass
22023,45.66,Provisional Pass
23140,35.9,Fail
24376,64.19,Pass
24444,68.43,Pass
24822,71.01,Pass
26333,59.5,Provisional Pass
26558,68.77,Pass
27410,70.23,Pass
28134,55.65,Provisional Pass
28333,62.35,Pass
30531,54.46,Provisional Pass
31231,58.41,Provisional Pass
31422,55.85,Provisional Pass
31527,61.27,Pass
32040,65.5,Pass
32271,76.82,Pass
32684,54.73,Provisional Pass
32722,73.74,Pass
33274,65.51,Pass
33742,54.17,Provisional Pass
34274,67.5,Pass
34366,52.73,Provisional Pass
34538,55.25,Provisional Pass
36320,69.8,Pass
37360,63.4,Pass
37425,61.98,Pass
37565,71.73,Pass
40233,62.75,Pass
41251,52.32,Provisional Pass
41452,52.57,Provisional Pass
41757,51.12,Provisional Pass
41803,46.02,Provisional Pass
42011,49.45,Provisional Pass
42841,84.6,Pass
43042,50.25,Provisional Pass
43072,59.5,Provisional Pass
43326,66.44,Pass
43655,52.38,Provisional Pass
44167,74.17,Pass
44275,66.18,Pass
44625,52.05,Provisional Pass
44823,59.7,Provisional Pass
45825,51.9,Provisional Pass
46251,70.24,Pass
46683,61.48,Pass
46856,68.16,Pass
47216,37.8,Fail
47718,72.65,Pass
47830,62.32,Pass
48853,48.58,Provisional Pass
50723,84.68,Pass
52548,56.3,Provisional Pass
52670,62.7,Pass
52874,71.09,Pass
53284,55.12,Provisional Pass
54654,56.33,Provisional Pass
55233,64.32,Pass
55682,70.54,Pass
55857,50.96,Provisional Pass
56010,46.62,Provisional Pass
56301,53.31,Provisional Pass
56404,60.22,Pass
56724,66.33,Pass
57102,69.86,Pass
57383,73.26,Pass
58151,76.75,Pass
58271,53.7,Provisional Pass
58282,61.03,Pass
58815,48.24,Provisional Pass
60031,76.59,Pass
61461,56.08,Provisional Pass
61524,50.51,Provisional Pass
61737,49.57,Provisional Pass
61800,55.1,Provisional Pass
63357,80.05,Pass
64231,58.88,Provisional Pass
64308,65.32,Pass
64347,61.83,Pass
64561,66.77,Pass
65010,57.2,Provisional Pass
65566,45.46,Provisional Pass
65634,73.46,Pass
67100,61.17,Pass
67135,68.33,Pass
67561,52.51,Provisional Pass
70375,54.88,Provisional Pass
70637,51.03,Provisional Pass
72205,64.26,Pass
72608,57.43,Provisional Pass
73321,75.54,Pass
73361,66.78,Pass
73484,37.1,Fail
73623,59.89,Provisional Pass
74001,66.71,Pass
76344,71.53,Pass
76526,63.28,Pass
77761,52.57,Provisional Pass
78072,53.76,Provisional Pass
78343,77.0,Pass
78755,64.74,Pass
80077,60.65,Pass
80246,67.17,Pass
81318,53.47,Provisional Pass
81330,77.85,Pass
81486,60.2,Pass
81666,54.12,Provisional Pass
83401,78.81,Pass
83721,48.18,Provisional Pass
83833,69.05,Pass
84105,55.22,Provisional Pass
84540,50.09,Provisional Pass
85851,56.04,Provisional Pass
86277,41.04,Provisional Pass
87127,55.5,Provisional Pass
88216,60.2,Pass
88740,59.13,Provisional Pass
88748,46.51,Provisional Pass
