Chr_id	Chr_pos	SNPs	p-Value	Disease/Trait
chr5	150860514	rs1000113	3E-7	Crohn's disease
chr11	2148913	rs1004446	4E-9	Type 1 diabetes
chr5	159387525	rs10045431	4E-13	Crohn's disease
chr5	159387525	rs10045431	7E-8	Crohn's disease
chr5	56143024	rs10065637	4E-12	Crohn's disease
chr9	35269822	rs10121009	3E-6	Parkinson's disease
chr14	23370824	rs10137082	6E-6	Type 1 diabetes
chr2	60997124	rs10181042	7E-9	Crohn's disease
chr2	233250193	rs10210302	5E-14	Crohn's disease
chr11	61790331	rs102275	2E-11	Crohn's disease
chr7	127606849	rs10229583	2E-10	Type 2 diabetes
chr6	20687890	rs10440833	2E-22	Type 2 diabetes
chr18	2948031	rs10460009	9E-6	Type 2 diabetes
chr5	56808481	rs10461617	4E-6	Type 2 diabetes
chr5	180367208	rs10464059	3E-6	Parkinson's disease
chr7	26852821	rs10486483	3E-8	Crohn's disease
chr6	70579486	rs1048886	3E-8	Type 2 diabetes
chr2	43579779	rs10495903	2E-14	Crohn's disease
chr11	84706803	rs10501570	7E-6	Parkinson's disease
chr10	88263276	rs10509540	1E-28	Type 1 diabetes
chr3	183042285	rs10513789	3E-10	Parkinson's disease
chr4	26083889	rs10517086	5E-10	Type 1 diabetes
chr15	61708933	rs10519131	1E-6	Parkinson's disease
chr10	131373856	rs10734105	3E-8	Crohn's disease
chr10	131149699	rs10741243	5E-6	Type 2 diabetes
chr9	4292083	rs10758593	3E-6	Type 1 diabetes
chr9	4981602	rs10758669	1E-13	Crohn's disease
chr9	4981602	rs10758669	3E-9	Crohn's disease
chr10	62685804	rs10761659	2E-6	Crohn's disease
chr10	62685804	rs10761659	4E-22	Crohn's disease
chr10	62685804	rs10761659	5E-6	Crohn's disease
chr10	98540425	rs10786436	8E-7	Type 1 diabetes
chr1	191590226	rs10801047	3E-8	Crohn's disease
chr9	22134095	rs10811661	1E-18	Type 2 diabetes
chr9	22134095	rs10811661	5E-6	Type 2 diabetes
chr9	22134095	rs10811661	5E-8	Type 2 diabetes
chr9	22134095	rs10811661	7E-7	Type 2 diabetes
chr9	22134095	rs10811661	8E-15	Type 2 diabetes
chr9	4293150	rs10814916	6E-12	Type 2 diabetes
chr2	62324337	rs10865331	1E-9	Crohn's disease
chr12	39959194	rs10877840	1E-6	Parkinson's disease
